node_id,tipo,titulo,canal,categoria,vistas,n_autores,n_comentarios_video,channel_id,video_url,comunidad,degree,strength,betweenness,closeness,articulation,component_increase,nombre,n_videos,n_comentarios_autor,author_handle,distinct_channels,distinct_videos,comment_count,recurrent,extra_comments
UCHTGCgY2l-DQJIvlA_cpa_Q,autor,,,,,,,,,0,2,3,0.23158411788784283,0.25280112044817926,True,1,@virgiliogarcia3039,2.0,3.0,/@virgiliogarcia3039,2,2,3,True,1
UCpsKOkt5iWTbenzeuq7dsmQ,autor,,,,,,,,,7,3,3,0.21807613589848548,0.26552795031055904,True,1,@inge_vergueta,3.0,3.0,/@inge_vergueta,1,3,3,True,0
UCzZ6dDCEsLMXbc5pCFXIprw,autor,,,,,,,,,4,2,2,0.17683176422431438,0.18273340832395948,True,1,@josegil3813,2.0,2.0,/@josegil3813,1,2,2,True,0
UCylqlpsh8ENNM1LqgQ1KbxA,autor,,,,,,,,,1,2,3,0.08915268112975851,0.24793956043956042,False,0,@Jel.Awesh.M,2.0,3.0,/@Jel.Awesh.M,1,2,3,True,1
UCvcu1kR8xMYy_I1Ty-2mV2Q,autor,,,,,,,,,7,3,4,0.059705280392959484,0.17318763326226014,True,1,@hashojea7348,3.0,4.0,/@hashojea7348,1,3,4,True,1
UCjZgFEowMBrsjodqfovzdKw,autor,,,,,,,,,6,2,2,0.05789602947196071,0.13461219754723236,True,1,@franciscoflores3120,2.0,2.0,/@franciscoflores3120,2,2,2,True,0
UCbrtvygfRT6QXqWDNrOf-cA,autor,,,,,,,,,7,2,2,0.03229635693819075,0.17165046491969568,False,0,@Alejandro00710,2.0,2.0,/@Alejandro00710,1,2,2,True,0
UCdFlugHJJa4l3YqWuNRmvXw,autor,,,,,,,,,15,2,2,0.03186246418338109,0.17607847387817038,True,1,@MarcosCarillo-b1r,2.0,2.0,/@MarcosCarillo-b1r,2,2,2,True,0
UCsUCN0Yq_UyTvKjOJLmNrnQ,autor,,,,,,,,,8,2,2,0.03186246418338109,0.22487541528239202,True,1,@moisesvaldez4043,2.0,2.0,/@moisesvaldez4043,2,2,2,True,0
UC-HeUTT6_g-VoiWds2a4H-w,autor,,,,,,,,,2,1,1,0.0,0.1326122448979592,False,0,@JorgeMunoz-gd9et,1.0,1.0,/@JorgeMunoz-gd9et,1,1,1,False,0
UC-Iul5tDYH_oiAMXQH-KaaQ,autor,,,,,,,,,2,1,1,0.0,0.1326122448979592,False,0,@AlbertoMancilla-p9h,1.0,1.0,/@AlbertoMancilla-p9h,1,1,1,False,0
UC-QOpE7GOxlXcHZ8b7HbQKA,autor,,,,,,,,,5,1,2,0.0,0.026448979591836733,False,0,@mariaalexander427,1.0,2.0,/@mariaalexander427,1,1,2,True,1
UC-fiZBS5Gp1eCJd9ucgWnCg,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@Tommii.10,1.0,1.0,/@Tommii.10,1,1,1,False,0
