author_channel_id,author_name,video_id,channel_id,channel_name,title
UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,j43HgwYFKfk,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,La cooptación de Walter Mazariegos en la USAC
UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,yLZS3JiEBg8,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Arroz con pollo a la MONOPOLIO
UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,6W4u8sGEnGM,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Inician los trabajos de recuperación del Puente Belice II.
UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,is3Mk5oC19g,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu
UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,WIUZtitfLRw,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Caminar en una ciudad hecha para carros
UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,ndAZjHqzzT8,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Internet: escoger el menos malo
UCzZ6dDCEsLMXbc5pCFXIprw,@josegil3813,6W4u8sGEnGM,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Inician los trabajos de recuperación del Puente Belice II.
UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,ndAZjHqzzT8,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Internet: escoger el menos malo
UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,j43HgwYFKfk,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,La cooptación de Walter Mazariegos en la USAC
UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,n8iP75gIpmw,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Qué rico come tu diputado
UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,n8iP75gIpmw,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Qué rico come tu diputado
UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,06mFNPU0aB8,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto
UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,n8iP75gIpmw,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Qué rico come tu diputado
UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,b_Hkrkl3adA,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales
UCzZ6dDCEsLMXbc5pCFXIprw,@josegil3813,PjmxCj-a9Hg,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,PjmxCj-a9Hg,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
