video_id,comment_id,video_title,channel_name,channel_id,author_name,author_channel_id,text,source_query,source_group,dataset_sources,author_handle,published_text,like_count_text,reply_count,is_pinned,viewer_rating,texto_original,like_count_observado,like_count,texto_paso1,tiene_url,menciones_encontradas,hashtags_encontrados,emojis_encontrados,num_emojis,texto_limpio,tokens_limpios,longitud_original,longitud_limpia,sentiment_input,sentiment_status,sentiment,p_NEG,p_NEU,p_POS,token_count,truncated,confidence,low_confidence,sentiment_score,model_id,model_revision,author_community,video_community,internal
j43HgwYFKfk,Ugw-J65a1iYL9hqhELh4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@MarcosCarillo-b1r,UCdFlugHJJa4l3YqWuNRmvXw,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@MarcosCarillo-b1r,hace 6 meses,,0,False,,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,False,0,ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,False,[],[],[],0,corrupto amigo viejo fiscal verbo él carcel,"['corrupto', 'amigo', 'viejo', 'fiscal', 'verbo él', 'carcel']",1024,43,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,classified,NEG,0.807786762714386,0.14628508687019348,0.04592810571193695,18,False,0.807786762714386,False,-0.761858657002449,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,15,1,False
06mFNPU0aB8,Ugw-ZT9t9wU2V-tCaUZ4AaABAg,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,UCVpSRoZgngfSL03Nlbjtq9A,@RaulPerez-cw2vi,UCvl1tzQeBeGy6efPTRJXSCw,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@RaulPerez-cw2vi,hace 2 semanas,,0,False,,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",False,0,están jóvenes porque no buscan un trabajo tuvieron suerte que no hay policías que le gusta del otro vando por ir vestido de mujer se los hubieran ensamblado la maquinaria,False,[],[],[],0,joven buscar trabajo tener suerte policía gustar var vestir mujer haber ensamblar maquinaria,"['joven', 'buscar', 'trabajo', 'tener', 'suerte', 'policía', 'gustar', 'var', 'vestir', 'mujer', 'haber', 'ensamblar', 'maquinaria']",1022,92,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",classified,NEG,0.9650871753692627,0.029080349951982498,0.005832497030496597,38,False,0.9650871753692627,False,-0.9592546783387661,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,6,6,True
j43HgwYFKfk,Ugw0xaOb2CYXXoudtwJ4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@iamjimalesssa,UCRAquv8el-tQ30bN7MlmySQ,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@iamjimalesssa,hace 1 año,4.0,0,False,,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",True,4,me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales esto no es una maquila,False,[],[],[],0,dejar gana demandar ilegalidad reunión virtual maquila,"['dejar', 'gana', 'demandar', 'ilegalidad', 'reunión', 'virtual', 'maquila']",1022,54,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",classified,NEG,0.9713771343231201,0.025966854766011238,0.002656026277691126,22,False,0.9713771343231201,False,-0.968721108045429,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,1,1,True
j43HgwYFKfk,Ugw0xgUc2ISpBr5_T654AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@gonzalo6075,UCkbsS_3D-pvg1iHOld9uvIg,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@gonzalo6075,hace 1 año,,0,False,,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,False,0,veremos a este mafioso de mazariegos en la cárcel y un buen tiempo en la sombra,False,[],[],[],0,ver mafioso mazariego cárcel tiempo sombra,"['ver', 'mafioso', 'mazariego', 'cárcel', 'tiempo', 'sombra']",1024,42,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,classified,NEG,0.7018648982048035,0.26764851808547974,0.03048660233616829,22,False,0.7018648982048035,False,-0.6713782958686352,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,1,1,True
OkXlHx0hx-8,Ugw1ZzA21njWhaqQQTh4AaABAg,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@luisroldan7374,UCOLHH4ZpMxPYF-Q6e6wvn5A,"eso es para que salga de USA por su propio pie
                                                                                                                                                                                                                                                                                               que se auto deporten",guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@luisroldan7374,hace 1 día,2.0,1,False,,"eso es para que salga de USA por su propio pie
                                                                                                                                                                                                                                                                                               que se auto deporten                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",True,2,eso es para que salga de usa por su propio pie que se auto deporten,False,[],[],[],0,salir pie auto deportar,"['salir', 'pie', 'auto', 'deportar']",1358,23,"eso es para que salga de USA por su propio pie
   que se auto deporten",classified,NEG,0.7452157139778137,0.23289403319358826,0.021890269592404366,22,False,0.7452157139778137,False,-0.7233254443854094,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,5,5,True
OkXlHx0hx-8,Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@eugeneramirez4405,UCi2KiZq63sRq8Mfbcp-MelQ,Imagine if they had to walk back home.,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@eugeneramirez4405,hace 20 horas,,0,False,,Imagine if they had to walk back home.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,False,0,imagine if they had to walk back home,False,[],[],[],0,imagine if they had to walk back home,"['imagine', 'if', 'they', 'had', 'to', 'walk', 'back', 'home']",1024,37,Imagine if they had to walk back home.,classified,NEU,0.3089750409126282,0.539604127407074,0.15142077207565308,10,False,0.539604127407074,True,-0.1575542688369751,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,5,5,True
yLZS3JiEBg8,Ugw2014OIYf336oytFt4AaABAg,Arroz con pollo a la MONOPOLIO,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@capitanfrans,UCXl30Y_upRqbti52fmjK4YA,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@capitanfrans,hace 2 años,,0,False,,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,False,0,buenísima investigacion hand purple blue peace hand purple blue peace hand purple blue peace,False,[],[],[],0,buenísima investigacion hand purple blue peace hand purple blue peace hand purple blue peace,"['buenísima', 'investigacion', 'hand', 'purple', 'blue', 'peace', 'hand', 'purple', 'blue', 'peace', 'hand', 'purple', 'blue', 'peace']",1024,92,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,classified,POS,0.021916236728429794,0.38881930708885193,0.5892645120620728,44,False,0.5892645120620728,True,0.567348275333643,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,7,7,True
n8iP75gIpmw,Ugw2bSVOoNn2pc8ZcUl4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@danyraymundo2942,UCRelkU8JiZBytTzebJxaa-w,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@danyraymundo2942,hace 2 años,3.0,0,False,,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",True,3,lleven su lonchera sacrifiquense un poco y reintevren ese dinero o están robando,False,[],[],[],0,llevar lonchera sacrifiquensar reintevren dinero robar,"['llevar', 'lonchera', 'sacrifiquensar', 'reintevren', 'dinero', 'robar']",1022,54,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",classified,NEG,0.5835473537445068,0.37668576836586,0.0397668331861496,23,False,0.5835473537445068,True,-0.5437805205583572,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,0,0,True
lj983NWyAQY,Ugw3gnUvLp6AqO0_odt4AaABAg,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,@perritojuega1,UCgLurCo-e019HGODcjXHWCw,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,Municipalidad de Guatemala,topic,lj983NWyAQY_out_comments.csv | youtube_guatemala_plus_comments.csv,/@perritojuega1,hace 5 años,2.0,0,False,,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,True,2,viva guatemala,False,[],[],"['🇬🇹', '🇬🇹', '🇬🇹', '🥳', '🥳', '🥳']",6,vivo guatemala,"['vivo', 'guatemala']",1015,14,Viva Guatemala  emoji bandera guatemala emoji  emoji bandera guatemala emoji  emoji bandera guatemala emoji  emoji cara de fiesta emoji  emoji cara de fiesta emoji  emoji cara de fiesta emoji,classified,NEU,0.15794509649276733,0.677142858505249,0.16491208970546722,49,False,0.677142858505249,False,0.00696699321269989,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,3,3,True
n8iP75gIpmw,Ugw4C1ijI36l6LAiSZh4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@lizardomorataya8274,UCDIMztpVm7G27qBuiWuT6oQ,LADRONES !!!!,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@lizardomorataya8274,hace 2 años,,0,False,,LADRONES !!!!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,False,0,ladrones,False,[],[],[],0,ladrón,['ladrón'],1024,6,LADRONES !!!,classified,NEG,0.5815953016281128,0.2898417115211487,0.1285630613565445,4,False,0.5815953016281128,True,-0.4530322402715683,pysentimiento/robertuito-sentiment-analysis,a2cc0f67ebd705c55191e25a05ba23d885fcc09b,0,0,True
