community,nodes,assigned_authors,assigned_videos,observed_internal_authors,internal_comments,incoming_comments,outgoing_comments,videos,channels,top_words,video_community,n_total,n_classified,small_sample,mean_score,low_confidence,truncated,NEG,pct_NEG,NEU,pct_NEU,POS,pct_POS
0,126,125,1,125,158,3,1,Qué rico come tu diputado,Quorum,"pueblo:49, diputado:48, pagar:35, dinero:27, trabajo:21, sueldo:20, almuerzo:17, trabajar:16",0,158,158,False,-0.6657966648411194,18,5,127,0.8037974683544303,23,0.14556962025316456,8,0.05063291139240506
1,48,47,1,47,48,2,1,La cooptación de Walter Mazariegos en la USAC,Quorum,"usac:9, corrupto:9, estudiante:7, universidad:6, excelente:5, información:5, universitario:4, seguir:4",1,48,48,False,-0.34122190867977525,6,0,28,0.5833333333333334,10,0.20833333333333334,10,0.20833333333333334
7,32,29,3,29,34,0,2,Caminar en una ciudad hecha para carros | Internet: escoger el menos malo | Arroz con pollo a la MONOPOLIO,Quorum,"excelente:11, empresa:9, internet:7, ley:7, seguir:5, servicio:5, país:5, pequeño:4",7,34,34,False,-0.19495740297305234,6,4,17,0.5,7,0.20588235294117646,10,0.29411764705882354
2,31,30,1,30,43,2,0,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,"presidente:21, año:10, guatemala:10, proyecto:9, terminar:9, bernardo:8, arevalo:7, puente:6",2,43,43,False,-0.09336771603218864,11,1,17,0.3953488372093023,13,0.3023255813953488,13,0.3023255813953488
3,26,25,1,25,25,0,0,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,"guatemala:19, ciudad:9, saludo:7, proyecto:6, vivir:4, tiempo:4, cuidad:3, guate:3",3,25,25,False,0.6051005334313959,3,0,2,0.08,3,0.12,20,0.8
4,19,18,1,18,24,1,1,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,"país:8, guatemala:6, gobierno:6, bla:6, presidente:5, maya:4, salvador:4, tren:4",4,24,24,False,-0.40902632048043114,5,0,16,0.6666666666666666,4,0.16666666666666666,4,0.16666666666666666
5,19,18,1,18,25,0,0,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,"you:6, país:5, deportar:4, entrar:4, pais:4, persona:2, pasar:2, mexicano:2",5,25,25,False,-0.4623299891036004,8,0,16,0.64,6,0.24,3,0.12
6,14,13,1,13,14,0,1,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,"trabajo:3, mujer:3, faltar:2, cara:2, joven:1, buscar:1, tener:1, suerte:1",6,14,14,False,-0.17652652109973133,6,0,4,0.2857142857142857,7,0.5,3,0.21428571428571427
8,8,7,1,7,7,0,1,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,"país:4, asqueroso:3, entender:2, gasolina:2, guerra:2, guatemala:2, galón:2, puro:1",8,7,7,True,-0.7589700154161879,0,1,6,0.8571428571428571,1,0.14285714285714285,0,0.0
15,8,7,1,7,7,0,1,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,"comparator:2, enjuiciar:1, obgwto:1, robado:1, humano:1, hechor:1, consentidor:1, pena:1",15,7,7,True,-0.6218189904466271,3,0,6,0.8571428571428571,1,0.14285714285714285,0,0.0
9,5,4,1,4,4,0,0,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,"iniciativa:3, juego:2, excelente:2, ver:1, deporte:1, dinamico:1, entretenido:1, trasfondo:1",9,4,4,True,0.46656977041857317,0,0,1,0.25,0,0.0,3,0.75
10,4,3,1,3,3,0,0,10 Preguntas a un año del Paro Nacional,Quorum,"guatemala:2, cambiar:1, dictadura:1, año:1, ver:1, semilla:1, bernardo:1, arévalo:1",10,3,3,True,0.1573466577877601,1,0,1,0.3333333333333333,0,0.0,2,0.6666666666666666
11,3,2,1,2,2,0,0,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,"persona:1, encargado:1, ecosistema:1, ayudar:1, problema:1, recuerdo:1, dejar:1, semiya:1",11,2,2,True,-0.5193294226191938,0,0,1,0.5,1,0.5,0,0.0
12,2,1,1,1,1,0,0,Cruzando la ciudad a puro Transmetro,Quorum,"teléfono:2, subscribir:1, boletín:1, informativo:1, intentar:1, pagina:1, web:1, colocado:1",12,1,1,True,-0.894237047759816,0,0,1,1.0,0,0.0,0,0.0
13,2,1,1,1,1,0,0,SHAI WA: la vecina queer de Casa Presidencial,Quorum,"gracias:1, video:1, importante:1, tipo:1, espacio:1",13,1,1,True,0.971550875576213,0,0,0,0.0,0,0.0,1,1.0
14,2,1,1,1,1,0,0,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,,14,1,1,True,0.5236733332276344,1,0,0,0.0,0,0.0,1,1.0
16,2,1,1,1,1,0,0,¿Quiénes pagan más en Centroamérica?,Quorum,wooow:1,16,1,1,True,0.7178556993603706,0,0,0,0.0,0,0.0,1,1.0
