video_id,title,channel_id,channel_name,view_count,observed_comments,in_observed_network
-5puKGEqcUc,INSIVUMEH pronostica incremento de lluvias para el fin de semana en Guatemala,UCq0Cm-3SKthEySQc2JZBi1A,T13 Noticias Guatemala,2357,0,False
-E7OPOLjMug,BERNARDO ARÉVALO CALIFICA CAMBIO EN EL MP COMO EL FIN DE UNA ETAPA DE DETERIORO INSTITUCIONAL,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,4,0,False
-KDglrIzRKo,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,UC-DpoeBbCMOMOH1-j71KPqA,México Poder,29736,0,False
-O4Pa7qS9WQ,"Viaje completo Ciudad de Guatemala al IRTRA de Retalhuleu, menos tráfico, Diesel a Q42.59",UCSQM9AVr3rr7_GF8RH5KFGw,Guate Maya Trip,383,0,False
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,6692,14,True
0LTLUY7LBlA,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,6099,0,False
0a4_g1R1-aA,Acciones relevantes en el #Resumen24Horas,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,15455,0,False
0b2vfzXdCqs,Cadena Nacional del presidente Bernardo Arévalo,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,2725,0,False
0eiVPMexNOo,CONRED se pronuncia tras sismos en el territorio nacional,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,1875,0,False
0iQD8zHxZIg,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA  Guatemala en medio de EMERGENCIA,UCoVACVT8WitFTc_Ok5yhYlg,Tras la Verdad SV,36701,0,False
1-hr8eCOt_I,Este es el impacto ante el incremento del tráfico en la capital por el inicio de clases,UCwkVsH8aIOco3U_Fu7-UW5w,AztecaGuate,289,0,False
1HQLJycvzaQ,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,1175,0,False
1kSG-naIgqk,PRIMERA SEDE MIGRATORIA REGIONAL EN CHIQUIMULA,UCWYeiFUCO0SW6BxZ8aPxVTw,Vicepresidencia Guate,48,0,False
1w9faaYjhyU,Fundación de la República de Guatemala 21 marzo 1847,UCdHETJl6cR5dye5XxEyqycQ,El profe de Historia Gt,31697,0,False
1y61Kb9uSbg,Departamento de Tránsito de PNC certifica a 43 PMT en Educación Vial,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,471,0,False
1yHN9Ci7pXs,Municipalidad de Guatemala informa,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,1617,0,False
2iqOSL9YguA,Gabriel García Luna ya está en el MP para asumir como nuevo fiscal general,UCDaIW3kDab95q7iCSeVAnbQ,Guatevisión,5181,0,False
2n31FhKmELI,TRÁFICO EN GUATEMALA,UC96TdbkzdlngA9hT1XNzJkw,Fralis Maxiel Martinez,512,0,False
2p23yPpu6aQ,#Conred,UC7PbHMtfWgBFZ_SSZ8iRhQg,Noticias-FA-Gt,164,0,False
3-jKER3zqcA,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,UC-YGRGi0FeIA5441bGlHOPw,audioschileros,70811,0,False
3LAwISMokIg,MUNICIPALIDAD DE GUATEMALA 17/12/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,294,0,False
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,573,2,True
3P2OUk7aGmc,Presidente presenta Segundo Informe Presidencial en Sesión Solemne del Congreso de la República.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,2838,0,False
3S3KygWSjAQ,Himno de la Policía Nacional Civil de Guatemala,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,53021,0,False
3bU7I_ZpXUk,Congreso inicia proceso para nombrar a nuevo Fiscal General en Guatemala y suceder a Consuelo Porras,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,7465,0,False
3onMfRym3OU,PRIMER PUENTE DONDE ARRIBA VA EL TRÁFICO Y ABAJO UN TREN EN GUATEMALA Y AMÉRICA LATINA.,UCH1AYkCs1GpNK_xUwFYTsaQ,Cronos Time GT,4484,0,False
45xQLtMlPdo,"PRESIDENTE DE GUATEMALA, BERNARDO ARÉVALO SE REFIERE AL “DÍA INTERNACIONAL DE LA LIBERTAD DE PRENSA”",UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,8,0,False
4DD1nlxWk2s,Fuertes LLUVIAS en el JABALI; a si luce una Tarde de Tormenta 😱,UCKu8ZkS9vriCetFagAGIMXA,VIVA GUATEMALA,27111,0,False
4FUed7cIhPU,El Sistema CONRED y el Gobierno de Guatemala trabajan unidos para atender emergencias.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,47,0,False
4H6w9FQAcS8,"Avances en temas de economía, precios de los combustibles y otros temas de interés nacional.",UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,1489,0,False
5DRG-WGTq1k,El Sistema CONRED continúa activo y trabajando de manera coordinada #VolcánDeFuego.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,68,0,False
5MFnG5B7ric,Municipalidad de Guatemala   09/07/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,107,0,False
5OhxjDvuYbQ,"Operativos PMT ""Cero Tolerancia"" para fin de año",UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,494,0,False
5UNxNfcSzG4,Distinción del Cambio de la Rosa de la Paz a Pedro Castro López del INACOP,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,741,0,False
5Y7fntl6Rc8,Cómo llegar a TIKAL desde Ciudad de GUATEMALA en autobús o en Avión | transporte a PETÉN,UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,11061,0,False
5nw9G1vwnYY,Actriz guatemalteca caracteriza a Consuelo Porras frente al MP por salida del cargo,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,40327,0,False
677N9cx_kKE,Carlos Pineda Seguridad I - Guatemala tiene solución | Ep. 2,UCInL6HZez6Qn8IHV8Achhxw,Carlos Pineda,8568,0,False
6KlI_geqPOI,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,2301,0,False
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,11670,45,True
6Wf0ItQUaDU,“Queremos generar 60 mil empleos”: Victorino Carranza revela el plan y las pérdidas de la Gremipe,UCoXuxT5_LclvcoCeFoS_iUw,Campus TV,2,0,False
6y3KQmmg3Oc,Noticiero El Informativo. Nuestra semana de resultados.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,303,0,False
6z2Psav9Onw,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,848,0,False
74F3Mn_NWoE,"Acto de Graduación de los Cursos de Formación, Ascenso y Especialización Policial de la PNC.",UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,1197,0,False
7JerBdHtkWA,Cambio de horarios en Municipalidad de Guatemala,UCJcN367ge_Yo1p7b20_KSaA,Canal 3 Guatemala,215,0,False
7hfUg8Z-W2o,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,2449,0,False
7kuHyjwuE_o,Centro Municipal de Emprendimiento - Municipalidad de Guatemala,UCBn6Y-Y3kCAQqYXHaMIjEVw,Centro Municipal de Emprendimiento MuniGuate,528,0,False
7mdtGeIHQnE,"#LHEnContexto: Gestión de riesgos en GUATEMALA: Lo que debes saber, explicado por la CONRED",UCrAoF9-9Vvb9_zK0t-m2Rhg,La Hora,570,0,False
8CuQ2_HTaN0,Conferencia de Prensa del Gobierno de Guatemala.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,735,0,False
8n6momRcC04,Mantenimiento constante,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,91,0,False
90oVm0P4_9Q,"El MINGOB a través del Viceministerio de Seguridad, combate  el crimen organizado.",UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,5,0,False
9BIrwWQUdb8,"Capturan a ""guardián"" de parqueo utilizado por la mara Salvatrucha e incautan 5 vehículos robados.",UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,23972,0,False
9Jacxvi9umU,Los responsables de bloquear información en Guatecompras,UCDvpZGLyno6g-bi-wwYq4wQ,Somos El Combo,7340,0,False
9XFVeHiWDTo,En #LaRondaGT conoce las acciones que impulsamos para modernizar los puertos y aeropuertos del país.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,1516,0,False
9h7d1iDFaqo,Vuelve el tráfico lento en la ciudad capital,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,11396,0,False
9wHujSu-nbQ,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,459,0,False
AHzfpOL5sgw,Sistema de gobierno de Guatemala 🇬🇹,UCwlb2TaG9ywiD6uhHWTy-qg,SUM Estudios Jurídicos.,2895,0,False
Aa7hIDCRh3g,Este BUS me LLEVO a UN PARAISO EN GUATEMALA,UCDfEVbDrimcKw5lfbps915g,De todo Gt,504374,0,False
AakUTlieyH0,Crisis de seguridad en Guatemala,UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,733,0,False
Ab0RrbzxyBU,Municipalidad de Guatemala 17/11/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,117,0,False
AlbPEU3rbZs,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,870,0,False
ArljwpsURdY,"Entrevista especial con Claudinne Ogaldes, Secretaria Ejecutiva de la SE-CONRED",UC6SA1dVHvAkc6yNS_t5cbGw,Conred,416,0,False
