node_id,tipo,titulo,canal,categoria,vistas,n_autores,n_comentarios_video,channel_id,video_url,comunidad,degree,strength,betweenness,closeness,articulation,component_increase,nombre,n_videos,n_comentarios_autor,author_handle,shared_audience_videos,shared_audience_strength,projection_articulation
n8iP75gIpmw,video,Qué rico come tu diputado,Quorum,News & Politics,11775.0,128.0,161.0,UCE4rsXcgDb6e1-a9iTbWzfg,https://www.youtube.com/watch?v=n8iP75gIpmw,0,128,161,0.5656979124027836,0.3045556805399325,True,126,,,,,4,5,True
PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Entertainment,3628.0,19.0,25.0,UC-ZtFBHzgkYFh7whZkuR_Ag,https://www.youtube.com/watch?v=PjmxCj-a9Hg,4,19,25,0.24402783462955385,0.21567976633032393,True,18,,,,,2,2,True
j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,10156.0,49.0,50.0,UCE4rsXcgDb6e1-a9iTbWzfg,https://www.youtube.com/watch?v=j43HgwYFKfk,1,49,50,0.22747441670077775,0.2214422028353326,True,47,,,,,3,4,True
6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,11670.0,32.0,45.0,UC-ZtFBHzgkYFh7whZkuR_Ag,https://www.youtube.com/watch?v=6W4u8sGEnGM,2,32,45,0.187621776504298,0.15830247515104268,True,31,,,,,2,2,True
ndAZjHqzzT8,video,Internet: escoger el menos malo,Quorum,News & Politics,717.0,10.0,12.0,UCE4rsXcgDb6e1-a9iTbWzfg,https://www.youtube.com/watch?v=ndAZjHqzzT8,7,10,12,0.1282930822758903,0.21135831381733022,True,8,,,,,4,5,True
yLZS3JiEBg8,video,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,1954.0,16.0,16.0,UCE4rsXcgDb6e1-a9iTbWzfg,https://www.youtube.com/watch?v=yLZS3JiEBg8,7,16,16,0.0636676217765043,0.14559060763577703,True,14,,,,,2,3,False
06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,News & Politics,6692.0,13.0,14.0,UCVpSRoZgngfSL03Nlbjtq9A,https://www.youtube.com/watch?v=06mFNPU0aB8,6,13,14,0.05471960704052395,0.1169714861751152,True,12,,,,,1,1,False
b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,News & Politics,5469.0,7.0,7.0,UCEepOY2svuxbsJ-zsAPT9Fg,https://www.youtube.com/watch?v=b_Hkrkl3adA,8,7,7,0.0276545231273025,0.17796888694127957,True,6,,,,,1,1,False
is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,News & Politics,4616.0,7.0,7.0,UCt5Dw7ePnn0AqPqRF8Xpjkw,https://www.youtube.com/watch?v=is3Mk5oC19g,15,7,7,0.0276545231273025,0.14595687331536386,True,6,,,,,1,1,False
WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,Quorum,News & Politics,422.0,6.0,6.0,UCE4rsXcgDb6e1-a9iTbWzfg,https://www.youtube.com/watch?v=WIUZtitfLRw,7,6,6,0.023086369218174377,0.14378651088688266,True,5,,,,,2,2,False
lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,304089.0,25.0,25.0,UCXa6LVjBzUtmcM3cwbd9e2w,https://www.youtube.com/watch?v=lj983NWyAQY,3,25,25,0.0049119934506754,0.07142857142857142,True,24,,,,,0,0,False
OkXlHx0hx-8,video,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,14200.0,18.0,25.0,UCRwA1NUcUnwsly35ikGhp0A,https://www.youtube.com/watch?v=OkXlHx0hx-8,5,18,25,0.0025051166598444538,0.05142857142857143,True,17,,,,,0,0,False
TT4qJ5FXHYE,video,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,News & Politics,1075.0,4.0,4.0,UCE4rsXcgDb6e1-a9iTbWzfg,https://www.youtube.com/watch?v=TT4qJ5FXHYE,9,4,4,9.823986901350798e-05,0.011428571428571429,True,3,,,,,0,0,False
JkpVO1hx2f8,video,10 Preguntas a un año del Paro Nacional,Quorum,News & Politics,673.0,3.0,3.0,UCE4rsXcgDb6e1-a9iTbWzfg,https://www.youtube.com/watch?v=JkpVO1hx2f8,10,3,3,4.911993450675399e-05,0.008571428571428572,True,2,,,,,0,0,False
3Nfp9h5avBI,video,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,News & Politics,573.0,2.0,2.0,UCdSVqHGHzyMTXSafUHY-e-w,https://www.youtube.com/watch?v=3Nfp9h5avBI,11,2,2,1.637331150225133e-05,0.005714285714285714,True,1,,,,,0,0,False
UhL9y3KUl8E,video,SHAI WA: la vecina queer de Casa Presidencial,Quorum,News & Politics,1755.0,1.0,1.0,UCE4rsXcgDb6e1-a9iTbWzfg,https://www.youtube.com/watch?v=UhL9y3KUl8E,13,1,1,0.0,0.002857142857142857,False,0,,,,,0,0,False
X_FAIef8qlE,video,Cruzando la ciudad a puro Transmetro,Quorum,News & Politics,1140.0,1.0,1.0,UCE4rsXcgDb6e1-a9iTbWzfg,https://www.youtube.com/watch?v=X_FAIef8qlE,12,1,1,0.0,0.002857142857142857,False,0,,,,,0,0,False
s0eco-BofOs,video,¿Quiénes pagan más en Centroamérica?,Quorum,News & Politics,220.0,1.0,1.0,UCE4rsXcgDb6e1-a9iTbWzfg,https://www.youtube.com/watch?v=s0eco-BofOs,16,1,1,0.0,0.002857142857142857,False,0,,,,,0,0,False
zweosulrwA8,video,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,Nonprofits & Activism,52.0,1.0,1.0,UCE4rsXcgDb6e1-a9iTbWzfg,https://www.youtube.com/watch?v=zweosulrwA8,14,1,1,0.0,0.002857142857142857,False,0,,,,,0,0,False
